,tweet,data,rt,quote
131,@viioloncella Ai mulher tô virando esses estudantes de cc que passam o final de semana codando https://t.co/EMftvADCV3,2022-02-02 01:22:36+00:00,,
132,"@raynha_md realmente eu pensei que ia ser mais, eu vou estudar ele melhor ainda kkkkkkk",2022-02-02 00:17:40+00:00,,
133,"@raynha_md Perai que eu ainda tenho salvação, foram 59/806",2022-02-02 00:13:05+00:00,,
134,Eu tô gostando tanto de ciência de dados que não sinto mais vontade de fazer as outras coisas da graduação,2022-02-02 00:12:01+00:00,,
135,Eu tava estudando as coisas pro meus tcc e fui testar um modelo que prediz se um texto em português tem linguagem tóxica ou não. Testei com os meus tweets e 59 fora considerados tóxicos. https://t.co/uZdgHR9C2f,2022-02-02 00:10:11+00:00,,
136,"@martalais_ Amém, que ódio dessa apresentação ser só depois das férias. Era pra ele ter feito isso logo depois que a gente entregou as respostas.",2022-02-02 00:05:30+00:00,,
137,"Eu tô com o conteúdo de metodologia aberto a meia hora na minha frente e n quero relembrar essas respostas

Mas eu tenho que fazer isso pq posso apresentar amanhã

Eu quero férias!",2022-02-01 22:48:12+00:00,,
138,"@mariaemduarda @bondedagg @gloriagroove @sorrisomaroto Aaah mulher, se for a @gloriagroove eu aceito tudo",2022-02-01 22:18:00+00:00,,
139,"@LittlePipica É maravilhoso né amigo, falar mexendo as mãos vira um evento",2022-02-01 02:12:37+00:00,,
140,"Que música maravilhosava vlh!! 

Set It Off - Projector (Official Music Video) https://t.co/B7KufXwHnV via @YouTube",2022-01-31 00:25:24+00:00,,
141,@mariaemduarda @vittorfernando Mulher eu num posso fazer nada,2022-01-29 22:29:22+00:00,,
142,@choquei Rodrigo com certeza,2022-01-27 00:11:47+00:00,,
143,"@guilhermecoelo Parece filme de terror de demônio

Amei!",2022-01-27 00:11:01+00:00,,
144,@alinadurso @MotorolaBR Meu sonho é tablet desses!! As economias vão ter que vir ai,2022-01-27 00:10:11+00:00,,
145,Pqp kkkkkkkkkkkkkkkk https://t.co/zHbUwRXwxO,2022-01-26 02:50:41+00:00,,https://twitter.com/gelh0/status/1486165335443132417
146,@VictorHundo @caesiufcg Eita saudade!!!,2022-01-25 01:12:26+00:00,,
147,Vai ficar muito famoso agora sendo o primeiro eliminado,2022-01-24 03:52:05+00:00,,
148,"QUE AGONIA DESSE POVO QUERENDO ""SE INFORMAR"" PRA FAZER VT!!!!!!!",2022-01-24 02:44:57+00:00,,
149,Eu tô perdendo a vontade de assistir o bbb pq tô com abuso da maioria dos participantes,2022-01-24 02:17:26+00:00,,
150,"A gente deveria fazer mutirão pra colocar as músicas da Linn nos tops do spotify, dar um presente pra essa gata e tá aguentando isso tudo no bbb",2022-01-23 11:56:08+00:00,,
151,Rodrigo 🤮🤮🤮🤮,2022-01-22 01:41:07+00:00,,
152,E ainda vi um viado no Instagram dizendo pro povo parar de atacar a Eslovênia pq essas coisas devem ser explicadas de forma didática. Tô só a Danny Bond homofóbica hoje,2022-01-21 15:26:49+00:00,,
153,"@dannybondd Mulher eu vejo um homem desse já vejo teus vídeos com um facão na mal, é a única solução para essa fuleragem",2022-01-21 15:24:33+00:00,,
154,Medo pq a expectativa tá muito alta https://t.co/VRmJ9IYL2X,2022-01-21 15:23:08+00:00,,https://twitter.com/fonteanittabr/status/1484518279859294219
155,"E Rodrigo também n fica atrás n, a cada 10 minutos tá lembrando o povo que não é esses hétero top e usou a palavra traveco?? Se tu tá fazendo questão de abusar o brasil dizendo  que é desconstruído, pelo menos n saia do personagem!",2022-01-21 12:42:46+00:00,,
156,"Meu rabo com essa história que a gente tem que ser didático. Automático gente? Você conhece a pessoa naquele dia se apresentando com ela e vc troca no automático??? Meu cu, foi transfóbica sim https://t.co/6NCmKKTaqR",2022-01-21 12:40:37+00:00,,https://twitter.com/comounagata/status/1484268179891400708
157,Parece que estou de ressaca da mudança,2022-01-20 13:58:33+00:00,,
158,@MatheuIan Quando sai?,2022-01-20 13:54:18+00:00,,
159,"Me acordei agora e parece que um trator passou cima de mim, fazer mudança é a pior coisa no mundo",2022-01-20 10:27:43+00:00,,
160,"Até que enfim, estou de volta em Campina Grande",2022-01-20 10:26:19+00:00,,
161,@talaritaa Mainha tá fazendo isso a um mês,2022-01-18 14:12:08+00:00,,
